Metric,Value,Unit
Requests,1273,
Duplicate request IDs,0,
Input tokens (provider log total),39996874,
Cached input tokens,38341888,
Uncached input tokens (Input - Cached),1654986,
Output tokens,956453,
Cached share of provider-log input,0.9586221163183902,
Pricing provenance,"Repository rate constants dated 2026-07-22; no retained official provider page or dated pricing snapshot",
Retained-rate arithmetic status,"Verified from provider-export token totals using retained rate constants; pricing-source provenance incomplete",
Arm-run allocation confidence,"Low: provider timestamps lack a retained timezone; full-run exclusivity and unrelated-request exclusion are not proven",
Trial-level allocation status,"Unresolved: no retained request-to-trial join",
Uncached-input cost,4.964958,USD
Cached-input cost,11.5025664,USD
Output cost,14.346795,USD
Provider-log retained-rate reconstruction,30.8143194,USD
Alternative if Input excluded Cached (rejected interpretation),145.8399834,USD
Recorded trial cost,25.207213,USD
Known accounting gap relative to provider-log retained-rate reconstruction,5.607106,USD
Reviewed Phase 3 core adjusted cost,972.169845,USD
Phase 3 extended qualified adjusted-cost estimate (core + Kimi K3),1002.9841648891979,USD
Phase 3 extended arms,16,arms
Phase 3 extended trials,960,trials
Phase 3 extended successes,562,successes
