packet_strata,trial_id,trial_link,run_label,arm_id,task_id,raw_outcome,execution_validity,activity_subtype,policy_disposition,failure_subtype,termination_subtype,telemetry_status,canonical_completeness,r2_read_availability,analyzed_artifact_integrity_status,classification_confidence,evidence_reasons,supporting_artifact_ids,analyzer_version
all_reclassified_verifier_environment_v1_1_1,047f8904-4687-4d4a-adca-d28a81c10542,/trials/047f8904-4687-4d4a-adca-d28a81c10542,router-anthropic-haiku-sanitized/2026-07-12__03-25-22,router-anthropic-haiku-sanitized,terminal-bench-2.0:build-cython-ext,failure,substantive,substantive_agent_activity,none_detected,test_assertion_failure,none,consistent,8/8,available,verified,high,"[""Database reward (raw source of truth): 0"",""Harbor result reward: 0"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 25"",""Tool calls: 46"",""Workspace-changing calls: 8"",""Thinking event metadata: 0 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 2257649"",""Transcript total input tokens: 2257649"",""Transcript output tokens: 7130"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: test_assertion_failure""]","[""1d6ac5c1-c544-4a97-af26-8995e65f94de"",""795829b0-1ba8-4a70-aa33-cbd16c0be7c8"",""b0565b5c-7107-4e2a-b0fd-25092ad92a14"",""05066371-0b31-450e-8599-4a506a153763"",""5314cd87-d850-4345-b1ad-0d3af663cdfd"",""6c3399d6-1bae-4f23-9a23-cd195c394ac7""]",artifact-evidence-v1.3.2
all_positive_reward_exceptions,051eafcf-b162-4096-b468-ee85c9affeca,/trials/051eafcf-b162-4096-b468-ee85c9affeca,router-glm-5.2/2026-06-19__13-47-51,router-glm-5.2,terminal-bench-2.0:schemelike-metacircular-eval,success,substantive,timeout_after_meaningful_activity,none_detected,none,timeout,partial,9/9,available,verified,high,"[""Database reward (raw source of truth): 1"",""Harbor result reward: 1"",""Database/result reward consistency: consistent"",""Database exception type: exception_info"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: exception_info"",""All trusted exception markers: timeout"",""Termination / exception subtype: timeout"",""Visible assistant events: 59"",""Tool calls: 73"",""Workspace-changing calls: 31"",""Thinking event metadata: 870 (content neither retained nor displayed)"",""Final result: not observed"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 135004"",""Transcript total input tokens: 0"",""Transcript output tokens: 0"",""Transcript usage basis: per_message"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: none""]","[""270a6576-c4bd-40d0-be66-e989215ca4e6"",""d858b242-5297-47f5-99d6-552ba232bfc5"",""32ba933e-ae67-42f9-b64a-8c74f3bb500a"",""5bb4d18f-d231-4e31-9af1-760dad07b74d"",""c015a46b-86b7-4b73-9514-87eb44dd1be7"",""3ee91f17-0edc-4393-8b57-192fa33469bb"",""7472cec0-6a0a-4216-9a9c-b16fd9b376d7""]",artifact-evidence-v1.3.2
all_positive_reward_exceptions,06069bcf-6f36-4000-aa41-85501e197164,/trials/06069bcf-6f36-4000-aa41-85501e197164,router-gemini-flash/2026-06-27__01-30-20,router-gemini-flash,terminal-bench-2.0:modernize-scientific-stack,success,substantive,timeout_after_meaningful_activity,none_detected,none,timeout,partial,9/9,available,verified,high,"[""Database reward (raw source of truth): 1"",""Harbor result reward: 1"",""Database/result reward consistency: consistent"",""Database exception type: exception_info"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: exception_info"",""All trusted exception markers: timeout"",""Termination / exception subtype: timeout"",""Visible assistant events: 8"",""Tool calls: 13"",""Workspace-changing calls: 2"",""Thinking event metadata: 3 (content neither retained nor displayed)"",""Final result: not observed"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 214879"",""Transcript total input tokens: 41646"",""Transcript output tokens: 4614"",""Transcript usage basis: per_message"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: none""]","[""0a100516-674c-4c08-b88c-14f74174057b"",""35b21964-4bf8-42cb-8810-c6ee53e1c27e"",""b02491e5-45d2-4718-b35c-edc652fb95cf"",""27e68de0-8fd8-4403-8b21-5a26e0312a13"",""113e78b3-0269-4749-980f-3ffe9cab0f4a"",""736025a2-8097-45de-801b-2a2c7d3f7d7f"",""3669eb40-90ac-488b-8533-9e1434321b6e""]",artifact-evidence-v1.3.2
all_reclassified_setup_transport_v1_1_1,0974a602-2833-45d7-a9a4-7db245b2aceb,/trials/0974a602-2833-45d7-a9a4-7db245b2aceb,router-deepseek-flash/2026-06-28__13-28-50,router-deepseek-flash,terminal-bench-2.0:polyglot-rust-c,failure,unknown,activity_unknown,none_detected,timeout,timeout,incomplete_evidence,9/9,partial,partial,medium,"[""Database reward (raw source of truth): 0"",""Harbor result reward: 0"",""Database/result reward consistency: consistent"",""Database exception type: exception_info"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: exception_info"",""All trusted exception markers: timeout"",""Termination / exception subtype: timeout"",""Visible assistant events: 0"",""Tool calls: 0"",""Workspace-changing calls: 0"",""Thinking event metadata: 42269 (content neither retained nor displayed)"",""Final result: not observed"",""Transcript evidence: head_tail_only"",""Trajectory evidence: complete"",""Database input tokens: 35207"",""Transcript total input tokens: 17627"",""Transcript output tokens: 0"",""Transcript usage basis: per_message"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: timeout""]","[""b4985a7f-efa9-4478-ae6b-b9f37b93607d"",""fa4de21f-b38a-447d-a802-2b695d30ea50"",""c858d827-54dd-45e7-870c-6c597d42e6c5"",""fc9bce8f-cc22-47d8-a188-e4c4b4d38297"",""6ba33409-11a4-4166-b3c9-3b396e849ded"",""6cc6c914-91c6-40f7-931d-22ec425aa9ca"",""ddb30dab-673b-49f5-aaa3-13279d302e8f""]",artifact-evidence-v1.3.2
all_extraneous_output_artifacts,099d083b-6755-4db3-b9a4-535ff185d4c7,/trials/099d083b-6755-4db3-b9a4-535ff185d4c7,router-qwen-3.7-plus/2026-06-29__03-16-06,router-qwen-3.7-plus,terminal-bench-2.0:polyglot-rust-c,failure,substantive,substantive_agent_activity,none_detected,extraneous_output_artifacts,none,consistent,8/8,available,verified,high,"[""Database reward (raw source of truth): 0"",""Harbor result reward: 0"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 4"",""Tool calls: 5"",""Workspace-changing calls: 2"",""Thinking event metadata: 6690 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 25317"",""Transcript total input tokens: 25317"",""Transcript output tokens: 24721"",""Transcript usage basis: final_aggregate"",""Synthetic retry: yes (1)"",""Explicit refusal marker: no"",""Verifier failure subtype: extraneous_output_artifacts""]","[""3395bee2-5ad4-4661-baba-794fa3a9f60f"",""8e642908-e035-428b-9032-a24b454904e8"",""edcebd5d-40d7-408d-b024-40e4d4774b3f"",""96379b36-f563-4662-b1dd-22c57c13c69b"",""92e2bd82-613b-487d-9cd9-dac0d51fa559"",""5e1b5146-5bb0-4fa9-8e93-b6cedc50361a""]",artifact-evidence-v1.3.2
all_7_of_9_evidence,0b69a314-86ee-47a1-ba2f-4616acad3e2e,/trials/0b69a314-86ee-47a1-ba2f-4616acad3e2e,router-gpt-5.4/2026-06-19__13-47-51,router-gpt-5.4,terminal-bench-2.0:query-optimize,not_recorded,substantive,timeout_after_meaningful_activity,none_detected,timeout,timeout,partial,7/9,available,verified,medium,"[""Database reward (raw source of truth): not recorded"",""Harbor result reward: not recorded"",""Database/result reward consistency: not_recorded"",""Database exception type: exception_info"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: exception_info"",""All trusted exception markers: timeout"",""Termination / exception subtype: timeout"",""Visible assistant events: 0"",""Tool calls: 37"",""Workspace-changing calls: 19"",""Thinking event metadata: 20 (content neither retained nor displayed)"",""Final result: not observed"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 328740"",""Transcript total input tokens: 0"",""Transcript output tokens: 0"",""Transcript usage basis: per_message"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: timeout""]","[""e9b47aa1-4cc6-4698-b6eb-bdee5458ab34"",""ee27aa9f-b29c-4b16-9763-1770b1e475cf"",""3eeb202b-b988-4cef-bec8-fcad5add0617"",""4bc200b5-2e1a-47e6-a3d8-b1cee137dffa"",""c1137983-eb01-4437-9d48-39bc5e8c69a5"",""dfc430c3-e606-4b1c-a7cd-0fe78d139cb9""]",artifact-evidence-v1.3.2
revised_ordinary_controls,0cbf3530-1108-48f6-9c39-28720b4d7991,/trials/0cbf3530-1108-48f6-9c39-28720b4d7991,router-anthropic-fable-5/2026-07-11__12-15-55,router-anthropic-fable-5,terminal-bench-2.0:sqlite-db-truncate,success,substantive,substantive_agent_activity,none_detected,none,none,consistent,8/8,available,verified,high,"[""Database reward (raw source of truth): 1"",""Harbor result reward: 1"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 2"",""Tool calls: 6"",""Workspace-changing calls: 3"",""Thinking event metadata: 7 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 208691"",""Transcript total input tokens: 208691"",""Transcript output tokens: 5562"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: none""]","[""3f4fd798-7c7b-42b3-bcc3-13988e9a1489"",""f342565a-17c2-41d2-b559-109244dc5bc7"",""a6037cfb-5b8d-4c2a-b5cf-e15f41be37fa"",""00d992d7-6fe4-4b3f-8b26-1f2d2eb685ea"",""3e60279f-c344-45f0-b7ce-8ca2b65a1566"",""11ec96f5-0e30-4626-853e-8b86129093d8""]",artifact-evidence-v1.3.2
all_policy_refusals,0d4ab925-6456-404a-b9f3-d504711c7682,/trials/0d4ab925-6456-404a-b9f3-d504711c7682,router-anthropic-fable-5/2026-07-11__12-15-55,router-anthropic-fable-5,terminal-bench-2.0:custom-memory-heap-crash,failure,policy_blocked,substantive_agent_activity,provider_policy_refusal,policy_refusal,provider_policy_refusal,nonzero_mismatch,9/9,available,verified,high,"[""Database reward (raw source of truth): 0"",""Harbor result reward: 0"",""Database/result reward consistency: consistent"",""Database exception type: exception_info"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: exception_info"",""All trusted exception markers: none"",""Termination / exception subtype: provider_policy_refusal"",""Visible assistant events: 0"",""Tool calls: 5"",""Workspace-changing calls: 1"",""Thinking event metadata: 2 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 124012"",""Transcript total input tokens: 156531"",""Transcript output tokens: 683"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: yes (cyber)"",""Verifier failure subtype: policy_refusal""]","[""c300d3ce-a3ac-41b4-b79b-0dcede881237"",""49c36a74-525e-4ef9-8ce0-aea2b4f4c734"",""71c4f78c-0e0e-43b1-bea9-eea5fb2ab829"",""6e55ceb9-60c2-44fb-b255-6a326a9fa205"",""4875f08a-235d-4b20-bce5-b05ca59e137b"",""b916c12b-cd0c-40c9-8fa5-eff7a56e6318"",""b6511039-be7e-4a55-b44c-536a76709b08""]",artifact-evidence-v1.3.2
all_7_of_9_evidence,0f547b3e-e2e1-4cda-9cd4-f2c498ff60af,/trials/0f547b3e-e2e1-4cda-9cd4-f2c498ff60af,router-kimi-k2.6/2026-06-28__13-28-55,router-kimi-k2.6,terminal-bench-2.0:query-optimize,not_recorded,substantive,timeout_after_meaningful_activity,none_detected,timeout,timeout,nonzero_mismatch,7/9,available,verified,medium,"[""Database reward (raw source of truth): not recorded"",""Harbor result reward: not recorded"",""Database/result reward consistency: not_recorded"",""Database exception type: exception_info"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: exception_info"",""All trusted exception markers: timeout"",""Termination / exception subtype: timeout"",""Visible assistant events: 1"",""Tool calls: 20"",""Workspace-changing calls: 4"",""Thinking event metadata: 19013 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 22763"",""Transcript total input tokens: 29413"",""Transcript output tokens: 20623"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: timeout""]","[""bf7a3eb5-67b3-4974-bcc9-8f126a354eb4"",""42009104-5056-42c8-b5bc-81edd8d89a50"",""7bdc8130-dddd-42bd-afa0-68ebaed87e77"",""ee3e08e6-9203-4c18-a75f-385ec16b537d"",""4761dce7-6fb3-4193-b00f-a472709a373f"",""4e3f17fa-3415-42f3-90e0-10214f2b512c""]",artifact-evidence-v1.3.2
revised_ordinary_controls,0fc8ebfd-99d6-4878-91ec-69b0a7b859dd,/trials/0fc8ebfd-99d6-4878-91ec-69b0a7b859dd,router-deepseek-flash/2026-06-28__13-28-50,router-deepseek-flash,terminal-bench-2.0:build-cython-ext,success,substantive,substantive_agent_activity,none_detected,none,none,consistent,8/8,available,verified,high,"[""Database reward (raw source of truth): 1"",""Harbor result reward: 1"",""Database/result reward consistency: consistent"",""Database exception type: not recorded"",""Database exception summary: not recorded"",""Database exception summary trusted markers: none"",""Exception artifact/result: none recorded"",""All trusted exception markers: none"",""Termination / exception subtype: none"",""Visible assistant events: 23"",""Tool calls: 69"",""Workspace-changing calls: 16"",""Thinking event metadata: 4203 (content neither retained nor displayed)"",""Final result: non-empty"",""Transcript evidence: complete"",""Trajectory evidence: complete"",""Database input tokens: 1957221"",""Transcript total input tokens: 1957221"",""Transcript output tokens: 13476"",""Transcript usage basis: final_aggregate"",""Synthetic retry: no"",""Explicit refusal marker: no"",""Verifier failure subtype: none""]","[""b9c41285-649d-4e71-90d5-0a5e3ea0865e"",""a90a3924-ad25-442e-adf7-590b7c04f8c1"",""af2a8224-f22c-4950-a12c-649a4421e3c3"",""e5022d4d-94bb-4e42-92c9-a3bedab6c221"",""ab5f145f-cdc1-4a95-a577-46b2129a7d58"",""1a6325c0-c24b-46cd-9b7e-d1cc3b9c1efe""]",artifact-evidence-v1.3.2
