trial_id,arm_id,task_id,raw_outcome,response_path_class,response_path_class_confidence,verifier_failure_category,verifier_failure_category_confidence,assertion_failure_category,assertion_failure_category_confidence,trajectory_disposition,trajectory_disposition_confidence,manual_review_reasons
0289f979-cafb-4f4b-a6ae-333260c84e6c,router-deepseek-pro,terminal-bench-2.0:openssl-selfsigned-cert,failure,not_applicable,high,dependency_or_import_error,medium,none,high,indeterminate,low,trajectory_disposition:j2.trajectory.indeterminate;verifier_failure_category:j2.verifier.strict.dependency_or_import_error
044d2f29-3e35-4463-ab17-ca003c6eed8d,router-qwen-3.7-plus,terminal-bench-2.0:cancel-async-tasks,failure,not_applicable,high,test_assertion_failure,high,unclassified_assertion,low,indeterminate,low,assertion_failure_category:j2.assertion.unclassified_assertion;trajectory_disposition:j2.trajectory.indeterminate
047f8904-4687-4d4a-adca-d28a81c10542,router-anthropic-haiku-sanitized,terminal-bench-2.0:build-cython-ext,failure,not_applicable,high,test_assertion_failure,high,unclassified_assertion,low,indeterminate,low,assertion_failure_category:j2.assertion.unclassified_assertion;trajectory_disposition:j2.trajectory.indeterminate
04d5586c-2221-48c2-82a3-dee419905104,router-deepseek-flash,terminal-bench-2.0:model-extraction-relu-logits,failure,not_applicable,high,test_assertion_failure,high,unclassified_assertion,low,indeterminate,low,assertion_failure_category:j2.assertion.unclassified_assertion;trajectory_disposition:j2.trajectory.indeterminate
05897c79-6b6a-4ff0-a23f-30afb99f8e2d,router-anthropic-haiku-sanitized,terminal-bench-2.0:sqlite-db-truncate,failure,not_applicable,high,test_assertion_failure,high,unclassified_assertion,low,indeterminate,low,assertion_failure_category:j2.assertion.unclassified_assertion;trajectory_disposition:j2.trajectory.indeterminate
0889470f-751a-4f31-bc66-c21d41e23a50,router-kimi-k3,terminal-bench-2.0:llm-inference-batching-scheduler,failure,not_applicable,high,test_assertion_failure,high,unclassified_assertion,low,indeterminate,low,assertion_failure_category:j2.assertion.unclassified_assertion;trajectory_disposition:j2.trajectory.indeterminate
0974a602-2833-45d7-a9a4-7db245b2aceb,router-deepseek-flash,terminal-bench-2.0:polyglot-rust-c,failure,unknown,low,none,medium,none,high,indeterminate,low,response_path_class:j2.response_path.unknown;trajectory_disposition:j2.trajectory.indeterminate
099d083b-6755-4db3-b9a4-535ff185d4c7,router-qwen-3.7-plus,terminal-bench-2.0:polyglot-rust-c,failure,not_applicable,high,missing_or_wrong_output,high,none,high,indeterminate,low,trajectory_disposition:j2.trajectory.indeterminate
0d4a5d3e-c6ac-46ff-9275-f6775041e78b,router-gemini-3.1-pro,terminal-bench-2.0:model-extraction-relu-logits,failure,not_applicable,high,test_assertion_failure,high,unclassified_assertion,low,indeterminate,low,assertion_failure_category:j2.assertion.unclassified_assertion;trajectory_disposition:j2.trajectory.indeterminate
0d4ab925-6456-404a-b9f3-d504711c7682,router-anthropic-fable-5,terminal-bench-2.0:custom-memory-heap-crash,failure,not_applicable,high,none,high,none,high,indeterminate,low,trajectory_disposition:j2.trajectory.indeterminate
0de49017-8411-40c8-a1fd-8adcf10c69da,router-deepseek-flash,terminal-bench-2.0:configure-git-webserver,failure,not_applicable,high,test_assertion_failure,high,unclassified_assertion,low,indeterminate,low,assertion_failure_category:j2.assertion.unclassified_assertion;trajectory_disposition:j2.trajectory.indeterminate
10998537-5bc0-4749-9299-48d16ef26f88,router-anthropic-sonnet,terminal-bench-2.0:model-extraction-relu-logits,failure,unknown,low,none,high,none,high,no_substantive_attempt,medium,response_path_class:j2.response_path.unknown;trajectory_disposition:j2.trajectory.no_substantive_attempt
1659613d-418a-4622-acbc-333161881d1d,router-anthropic-sonnet,terminal-bench-2.0:query-optimize,failure,unknown,low,none,high,none,high,no_substantive_attempt,medium,response_path_class:j2.response_path.unknown;trajectory_disposition:j2.trajectory.no_substantive_attempt
16c69c85-0744-46cc-aabd-1edf38848421,router-deepseek-pro,terminal-bench-2.0:portfolio-optimization,failure,not_applicable,high,test_assertion_failure,high,unclassified_assertion,low,indeterminate,low,assertion_failure_category:j2.assertion.unclassified_assertion;trajectory_disposition:j2.trajectory.indeterminate
173f73d6-0c27-422f-a2fa-f945f708fc04,router-deepseek-pro,terminal-bench-2.0:configure-git-webserver,failure,not_applicable,high,test_assertion_failure,high,unclassified_assertion,low,indeterminate,low,assertion_failure_category:j2.assertion.unclassified_assertion;trajectory_disposition:j2.trajectory.indeterminate
182d4beb-7be6-4d34-b391-469c83c9fa69,router-glm-5.2,terminal-bench-2.0:configure-git-webserver,failure,not_applicable,high,test_assertion_failure,high,unclassified_assertion,low,indeterminate,low,assertion_failure_category:j2.assertion.unclassified_assertion;trajectory_disposition:j2.trajectory.indeterminate
18ad1720-b7e0-43c2-ad82-e025d2c176ab,router-gpt-5.5,terminal-bench-2.0:torch-pipeline-parallelism,failure,not_applicable,high,test_assertion_failure,high,unclassified_assertion,low,indeterminate,low,assertion_failure_category:j2.assertion.unclassified_assertion;trajectory_disposition:j2.trajectory.indeterminate
19dec1e5-6b34-4b93-9fe2-dbb4149bca5a,router-anthropic-opus,terminal-bench-2.0:cancel-async-tasks,failure,not_applicable,high,test_assertion_failure,high,unclassified_assertion,low,indeterminate,low,assertion_failure_category:j2.assertion.unclassified_assertion;trajectory_disposition:j2.trajectory.indeterminate
19fd1aac-a338-4fd7-94b9-65ac55a38bc1,router-kimi-k2.6,terminal-bench-2.0:polyglot-rust-c,failure,unknown,low,none,high,none,high,no_substantive_attempt,medium,response_path_class:j2.response_path.unknown;trajectory_disposition:j2.trajectory.no_substantive_attempt
1bb7d702-441a-4167-932c-10749c384d0f,router-anthropic-opus,terminal-bench-2.0:cancel-async-tasks,failure,not_applicable,high,test_assertion_failure,high,unclassified_assertion,low,indeterminate,low,assertion_failure_category:j2.assertion.unclassified_assertion;trajectory_disposition:j2.trajectory.indeterminate
1bd0b13a-17ff-4181-a0cb-d0e0cc10a87d,router-glm-5.1,terminal-bench-2.0:build-cython-ext,failure,not_applicable,high,test_assertion_failure,high,unclassified_assertion,low,indeterminate,low,assertion_failure_category:j2.assertion.unclassified_assertion;trajectory_disposition:j2.trajectory.indeterminate
1c084199-17df-4588-879b-6be091058723,router-gemini-3.1-pro,terminal-bench-2.0:mteb-retrieve,failure,not_applicable,high,test_assertion_failure,high,unclassified_assertion,low,indeterminate,low,assertion_failure_category:j2.assertion.unclassified_assertion;trajectory_disposition:j2.trajectory.indeterminate
1c802be1-2584-46b6-a1ce-6aac2f4ca200,router-grok-build-0.1,terminal-bench-2.0:mteb-retrieve,failure,not_applicable,high,test_assertion_failure,high,unclassified_assertion,low,indeterminate,low,assertion_failure_category:j2.assertion.unclassified_assertion;trajectory_disposition:j2.trajectory.indeterminate
1d2aae9a-6d05-4917-baa6-eb13c95af855,router-glm-5.1,terminal-bench-2.0:polyglot-rust-c,failure,not_applicable,high,missing_or_wrong_output,high,none,high,indeterminate,low,trajectory_disposition:j2.trajectory.indeterminate
