arm_id,provider,backend_model,latest_result_path,classification,reward,mean,exceptions,cost_usd,input_tokens,cache_tokens,output_tokens,runtime_seconds,contamination_audit,observed_model,issue_category,smoke_readiness,notes,contamination_audit_summary
router-anthropic-haiku-sanitized,anthropic,claude-haiku-4-5-20251001,results/phase3/canary/arm-router-anthropic-haiku-sanitized/2026-06-01__13-17-13,PASS,1.0,1.0,,0.31465025,137251,101813,1691,486.133,clean,"claude-haiku-4-5-20251001, router-anthropic-haiku",Canary passed,ready-for-funded-smoke,,Scanned candidate files: 3 | Actual WebSearch/WebFetch tool-use events: 0 | Init records with WebSearch/WebFetch available: 0
router-anthropic-opus,anthropic,claude-opus-4-7,results/phase3/canary/arm-router-anthropic-opus/2026-06-01__09-36-08,PASS,1.0,1.0,,0.31503275,137328,101723,1666,289.333,clean,"claude-opus-4-7, router-anthropic-opus",Canary passed,ready-for-funded-smoke,,Scanned candidate files: 3 | Actual WebSearch/WebFetch tool-use events: 0 | Init records with WebSearch/WebFetch available: 0
router-anthropic-sonnet,anthropic,claude-sonnet-4-6,results/phase3/canary/arm-router-anthropic-sonnet/2026-05-30__18-57-05,PASS,1.0,1.0,,0.2929825,133731,99155,1104,82.333,clean,"claude-sonnet-4-6, router-anthropic-sonnet",Canary passed,ready-for-funded-smoke,,Scanned candidate files: 3 | Actual WebSearch/WebFetch tool-use events: 0 | Init records with WebSearch/WebFetch available: 0
router-deepseek-flash,deepseek,deepseek-v4-flash,results/phase3/canary/arm-router-deepseek-flash/2026-05-31__18-23-35,PASS,1.0,1.0,,0.1148,86585,86400,2827,252.194,clean,router-deepseek-flash,Canary passed,ready-for-funded-smoke,,Scanned candidate files: 3 | Actual WebSearch/WebFetch tool-use events: 0 | Init records with WebSearch/WebFetch available: 0
router-deepseek-pro,deepseek,deepseek-v4-pro,results/phase3/canary/arm-router-deepseek-pro/2026-05-31__21-44-33,PASS,1.0,1.0,,0.09217900000000001,85734,85248,1885,425.081,clean,"deepseek-v4-pro, router-deepseek-pro",Canary passed,ready-for-funded-smoke,,Scanned candidate files: 3 | Actual WebSearch/WebFetch tool-use events: 0 | Init records with WebSearch/WebFetch available: 0
router-gemini-3.1-pro,google-gemini,gemini-3.1-pro-preview,results/phase3/canary/arm-router-gemini-3.1-pro/2026-06-02__22-17-25,PASS,1.0,1.0,,0.2910615,130505,89103,1580,129.269,clean,"gemini-3.1-pro-preview, router-gemini-3.1-pro",Canary passed,ready-for-funded-smoke,,Scanned candidate files: 3 | Actual WebSearch/WebFetch tool-use events: 0 | Init records with WebSearch/WebFetch available: 0
router-gemini-flash,google-gemini,gemini-3.5-flash,results/phase3/canary/arm-router-gemini-flash/2026-06-02__20-59-54,PASS,1.0,1.0,,2.451235,433132,0,11423,150.889,clean,"gemini-3.5-flash, router-gemini-flash",Canary passed,ready-for-funded-smoke,,Scanned candidate files: 3 | Actual WebSearch/WebFetch tool-use events: 0 | Init records with WebSearch/WebFetch available: 0
router-glm-5,zai-glm,glm-5,results/phase3/canary/arm-router-glm-5/2026-06-03__02-38-35,FAIL-AUTH/QUOTA,0.0,0.0,NonZeroAgentExitCodeError,0,0,0,0,446.86,clean,router-glm-5,"Provider auth, access, billing, quota, or model entitlement issue",blocked-provider-access,,Scanned candidate files: 3 | Actual WebSearch/WebFetch tool-use events: 0 | Init records with WebSearch/WebFetch available: 0
router-glm-5.1,zai-glm,glm-5.1,results/phase3/canary/arm-router-glm-5.1/2026-06-04__12-40-42,PASS,1.0,1.0,,0.10728499999999999,40707,28800,1334,135.771,clean,"glm-5.1, router-glm-5.1",Canary passed,ready-for-funded-smoke,,Scanned candidate files: 3 | Actual WebSearch/WebFetch tool-use events: 0 | Init records with WebSearch/WebFetch available: 0
router-gpt-5.4,openai,gpt-5.4,results/phase3/canary/arm-router-gpt-5.4/2026-06-03__00-58-05,PASS,1.0,1.0,,0.799355,146861,0,2602,115.222,clean,"gpt-5.4, router-gpt-5.4",Canary passed,ready-for-funded-smoke,,Scanned candidate files: 3 | Actual WebSearch/WebFetch tool-use events: 0 | Init records with WebSearch/WebFetch available: 0
