sample_stratum,arm_id,trial_id,task_id,raw_outcome,execution_validity,activity_subtype,failure_subtype,termination_subtype,telemetry_status,evidence_complete,trial_link
ordinary_success,router-anthropic-fable-5,0cbf3530-1108-48f6-9c39-28720b4d7991,terminal-bench-2.0:sqlite-db-truncate,success,substantive,substantive_agent_activity,none,none,consistent,True,/trials/0cbf3530-1108-48f6-9c39-28720b4d7991
ordinary_success,router-anthropic-fable-5,c8d57ae1-9dcf-47c7-9db4-5993c4506a92,terminal-bench-2.0:modernize-scientific-stack,success,substantive,substantive_agent_activity,none,none,consistent,True,/trials/c8d57ae1-9dcf-47c7-9db4-5993c4506a92
ordinary_failure,router-anthropic-fable-5,f7d86e72-a89d-48a0-a55b-3e2b9434fffb,terminal-bench-2.0:polyglot-rust-c,failure,substantive,substantive_agent_activity,extraneous_output_artifacts,none,consistent,True,/trials/f7d86e72-a89d-48a0-a55b-3e2b9434fffb
ordinary_failure,router-anthropic-fable-5,d07e6668-251a-4c5b-8188-06b5bccccfd8,terminal-bench-2.0:configure-git-webserver,failure,substantive,substantive_agent_activity,test_assertion_failure,none,consistent,True,/trials/d07e6668-251a-4c5b-8188-06b5bccccfd8
timeout_control,router-anthropic-fable-5,c0333892-059c-47b6-bfdd-66acb22f6098,terminal-bench-2.0:schemelike-metacircular-eval,success,substantive,timeout_after_meaningful_activity,none,timeout,nonzero_mismatch,True,/trials/c0333892-059c-47b6-bfdd-66acb22f6098
timeout_control,router-anthropic-fable-5,ee2e2089-1068-4ed1-94a1-e19a9cde66be,terminal-bench-2.0:schemelike-metacircular-eval,failure,substantive,timeout_after_meaningful_activity,timeout,timeout,partial,True,/trials/ee2e2089-1068-4ed1-94a1-e19a9cde66be
exception_success_control,router-anthropic-fable-5,c0333892-059c-47b6-bfdd-66acb22f6098,terminal-bench-2.0:schemelike-metacircular-eval,success,substantive,timeout_after_meaningful_activity,none,timeout,nonzero_mismatch,True,/trials/c0333892-059c-47b6-bfdd-66acb22f6098
exception_success_control,router-anthropic-fable-5,9a3cdf6b-23c8-4dcb-b962-705a5eb08a1e,terminal-bench-2.0:schemelike-metacircular-eval,success,substantive,timeout_after_meaningful_activity,none,timeout,nonzero_mismatch,True,/trials/9a3cdf6b-23c8-4dcb-b962-705a5eb08a1e
ordinary_success,router-anthropic-haiku-sanitized,428c8f03-a1e5-44b3-a050-82b602b099a8,terminal-bench-2.0:multi-source-data-merger,success,substantive,substantive_agent_activity,none,none,consistent,True,/trials/428c8f03-a1e5-44b3-a050-82b602b099a8
ordinary_success,router-anthropic-haiku-sanitized,adf07fc1-efe9-4ee7-ba82-5eff13d00f87,terminal-bench-2.0:cancel-async-tasks,success,substantive,substantive_agent_activity,none,none,consistent,True,/trials/adf07fc1-efe9-4ee7-ba82-5eff13d00f87
ordinary_failure,router-anthropic-haiku-sanitized,8b1270fb-5624-4fd9-8488-a8ed9c3af173,terminal-bench-2.0:sqlite-db-truncate,failure,substantive,substantive_agent_activity,test_assertion_failure,none,consistent,True,/trials/8b1270fb-5624-4fd9-8488-a8ed9c3af173
ordinary_failure,router-anthropic-haiku-sanitized,3ac53702-460d-444d-9e75-6f94f1efcb9e,terminal-bench-2.0:llm-inference-batching-scheduler,failure,substantive,substantive_agent_activity,test_assertion_failure,none,consistent,True,/trials/3ac53702-460d-444d-9e75-6f94f1efcb9e
ordinary_success,router-anthropic-opus,83672d73-d5ba-40db-846f-76532efe1467,terminal-bench-2.0:torch-pipeline-parallelism,success,substantive,substantive_agent_activity,none,none,consistent,True,/trials/83672d73-d5ba-40db-846f-76532efe1467
ordinary_success,router-anthropic-opus,16586f1a-88c3-401e-a47d-7083c3706819,terminal-bench-2.0:build-cython-ext,success,substantive,substantive_agent_activity,none,none,consistent,True,/trials/16586f1a-88c3-401e-a47d-7083c3706819
ordinary_failure,router-anthropic-opus,fe144761-d771-476b-b374-72471bdb120e,terminal-bench-2.0:model-extraction-relu-logits,failure,substantive,substantive_agent_activity,test_assertion_failure,none,consistent,True,/trials/fe144761-d771-476b-b374-72471bdb120e
ordinary_failure,router-anthropic-opus,1bb7d702-441a-4167-932c-10749c384d0f,terminal-bench-2.0:cancel-async-tasks,failure,substantive,substantive_agent_activity,test_assertion_failure,none,consistent,True,/trials/1bb7d702-441a-4167-932c-10749c384d0f
timeout_control,router-anthropic-opus,a5273c02-4085-4c4d-9e21-b737314c8758,terminal-bench-2.0:llm-inference-batching-scheduler,failure,substantive,timeout_after_meaningful_activity,timeout,timeout,partial,True,/trials/a5273c02-4085-4c4d-9e21-b737314c8758
timeout_control,router-anthropic-opus,5cc05b69-2eca-4cb0-8991-074f52f93ebf,terminal-bench-2.0:query-optimize,not_recorded,substantive,timeout_after_meaningful_activity,timeout,timeout,nonzero_mismatch,True,/trials/5cc05b69-2eca-4cb0-8991-074f52f93ebf
telemetry_mismatch_control,router-anthropic-opus,07e239c9-2891-44b3-9edc-04c4cd955bff,terminal-bench-2.0:schemelike-metacircular-eval,success,substantive,substantive_agent_activity,none,none,nonzero_mismatch,True,/trials/07e239c9-2891-44b3-9edc-04c4cd955bff
telemetry_mismatch_control,router-anthropic-opus,d39e6956-9d8c-4982-82f0-edb33da450df,terminal-bench-2.0:schemelike-metacircular-eval,success,substantive,substantive_agent_activity,none,none,nonzero_mismatch,True,/trials/d39e6956-9d8c-4982-82f0-edb33da450df
