arm_id	primary_category	count	representative_tasks	representative_matched_signals	needs_manual_review_count	confidence_floor
router-anthropic-opus	dependency_or_import_error	2	terminal-bench-2.0:openssl-selfsigned-cert,terminal-bench-2.0:portfolio-optimization	ModuleNotFoundError,ImportError	0	high
router-anthropic-opus	test_assertion_failure	7	terminal-bench-2.0:cancel-async-tasks,terminal-bench-2.0:configure-git-webserver,terminal-bench-2.0:mteb-retrieve,terminal-bench-2.0:polyglot-rust-c	=================================== FAILURES ========================...	0	high
router-anthropic-opus	wrong_file_or_path	5	terminal-bench-2.0:model-extraction-relu-logits,terminal-bench-2.0:openssl-selfsigned-cert	"path = Path(\""/app/stolen_A1.npy\"") assert stolen_path.exists(), f\""F...,path = \""/app/check_cert.py\"" assert os.path.exists(script_path), \""P..."	0	high
router-anthropic-sonnet	test_assertion_failure	9	terminal-bench-2.0:cancel-async-tasks,terminal-bench-2.0:configure-git-webserver,terminal-bench-2.0:mteb-retrieve,terminal-bench-2.0:password-recovery,terminal-bench-2.0:polyglot-rust-c	=================================== FAILURES ========================...	0	high
router-deepseek-flash	dependency_or_import_error	1	terminal-bench-2.0:model-extraction-relu-logits	ImportError	0	high
router-deepseek-flash	runtime_exception_in_solution	4	terminal-bench-2.0:fix-code-vulnerability,terminal-bench-2.0:torch-pipeline-parallelism	ValueError	0	high
router-deepseek-flash	test_assertion_failure	5	terminal-bench-2.0:configure-git-webserver,terminal-bench-2.0:mteb-retrieve,terminal-bench-2.0:password-recovery	=================================== FAILURES ========================...	0	high
router-deepseek-flash	wrong_file_or_path	2	terminal-bench-2.0:model-extraction-relu-logits	"path = Path(\""/app/stolen_A1.npy\"") assert stolen_path.exists(), f\""F..."	0	high
router-deepseek-pro	dependency_or_import_error	2	terminal-bench-2.0:openssl-selfsigned-cert,terminal-bench-2.0:portfolio-optimization	ModuleNotFoundError,ImportError	0	high
router-deepseek-pro	runtime_exception_in_solution	5	terminal-bench-2.0:build-cython-ext,terminal-bench-2.0:torch-pipeline-parallelism	AttributeError,ValueError	0	high
router-deepseek-pro	test_assertion_failure	7	terminal-bench-2.0:cancel-async-tasks,terminal-bench-2.0:configure-git-webserver,terminal-bench-2.0:mteb-retrieve,terminal-bench-2.0:password-recovery	=================================== FAILURES ========================...	0	high
router-deepseek-pro	wrong_file_or_path	2	terminal-bench-2.0:model-extraction-relu-logits,terminal-bench-2.0:openssl-selfsigned-cert	"path = Path(\""/app/stolen_A1.npy\"") assert stolen_path.exists(), f\""F...,path = \""/app/check_cert.py\"" assert os.path.exists(script_path), \""P..."	0	high
router-gemini-3.1-pro	runtime_exception_in_solution	2	terminal-bench-2.0:torch-pipeline-parallelism	ValueError	0	high
router-gemini-3.1-pro	test_assertion_failure	4	terminal-bench-2.0:mteb-retrieve,terminal-bench-2.0:polyglot-rust-c	=================================== FAILURES ========================...	0	high
