provider,arm_id,start_date,end_date,event_type,run_label_or_scope,amount_usd,amount_kind,relation_to_selected_run,allocation_confidence,notes
xai,router-grok-build-0.1,2026-06-04,2026-06-04,canary,router-grok-build-0.1/2026-06-04__03-06-37,,,preselected_run,artifact_level,
xai,router-grok-build-0.1,2026-06-16,2026-06-16,smoke,router-grok-build-0.1/2026-06-16__14-53-30,,,preselected_run,artifact_level,
xai,router-grok-build-0.1,,2026-06-19,provider_dashboard_snapshot,xAI family dashboard total,6.36,provider_dashboard_total,predates_selected_run,not_run_allocable,"5,927,385 canonical retained dashboard tokens; user separately observed 5,927,462."
xai,router-grok-build-0.1,2026-06-28,2026-06-28,selected_full,router-grok-build-0.1/2026-06-28__13-28-55,6.418694,selected_retained_usage_lower_bound,selected_run,59_of_60_usage_bearing,One polyglot-rust-c trial remains unresolved.
zai-glm,router-glm-5.1,2026-06-04,2026-06-04,canary,router-glm-5.1/2026-06-04__12-40-42,,,preselected_run,artifact_level,
zai-glm,router-glm-5.1,2026-06-16,2026-06-16,smoke,router-glm-5.1/2026-06-16__14-53-29,,,preselected_run,artifact_level,
zai-glm,router-glm-5.1,,2026-06-19,provider_billing_table,glm-5.1 historical provider usage,3.094387,provider_billed,predates_selected_run,exact_for_historical_scope_not_selected_run,
zai-glm,router-glm-5.2,,2026-06-19,same_family_provider_context,glm-5.1 billing evidence only,,,different_model_not_allocable,not_allocable,
zai-glm,router-glm-5.2,2026-06-19,2026-06-19,selected_full,router-glm-5.2/2026-06-19__13-47-51,8.9016736,selected_rate_reconstruction,selected_run,60_of_60_usage_bearing,
zai-glm,router-glm-5.1,2026-06-28,2026-06-28,selected_full,router-glm-5.1/2026-06-28__13-28-50,5.3316552,selected_partial_rate_estimate,selected_run,55_of_60_usage_bearing_cache_accounting_unverified,"Five zero-metric trajectory trials remain unresolved; selected-run cache classification is unverified, so this is not a strict lower bound."
google-gemini,router-gemini-3.1-pro,2026-06-02,2026-06-02,canary,router-gemini-3.1-pro/2026-06-02__21-10-28,,,preselected_run,artifact_level,Errored canary with zero aggregate usage.
google-gemini,router-gemini-3.1-pro,2026-06-02,2026-06-02,canary,router-gemini-3.1-pro/2026-06-02__22-17-25,,,preselected_run,artifact_level,Successful retained canary; session-side activity crosses into UTC June 3.
google-gemini,router-gemini-flash,2026-06-02,2026-06-02,canary,router-gemini-flash/2026-06-02__17-59-33,,,preselected_run,artifact_level,Successful retained canary.
google-gemini,router-gemini-flash,2026-06-02,2026-06-02,canary,router-gemini-flash/2026-06-02__20-30-15,,,preselected_run,artifact_level,Errored retained canary with nonzero usage.
google-gemini,router-gemini-flash,2026-06-02,2026-06-02,canary,router-gemini-flash/2026-06-02__20-59-54,,,preselected_run,artifact_level,Successful retained canary.
google-gemini,router-gemini-3.1-pro,2026-06-16,2026-06-16,smoke,router-gemini-3.1-pro/2026-06-16__19-04-01,,,preselected_run,artifact_level,Five-trial retained smoke.
google-gemini,router-gemini-flash,2026-06-16,2026-06-16,smoke,router-gemini-flash/2026-06-16__00-58-08,,,preselected_run,artifact_level,Five-trial retained smoke.
google-gemini,router-gemini-flash,2026-06-16,2026-06-16,smoke,router-gemini-flash/2026-06-16__19-04-09,,,preselected_run,artifact_level,Second five-trial retained smoke.
google-gemini,router-gemini-3.1-pro;router-gemini-flash,,2026-06-17,provider_billing_export,shared Gemini API service-level billing,26.371228,provider_billed_family_total,predates_both_selected_runs,not_model_or_run_allocable,Shared family context; amount must not be summed once per arm.
google-gemini,router-gemini-flash,2026-06-27,2026-06-27,selected_full,router-gemini-flash/2026-06-27__01-30-20,16.12091625,selected_retained_usage_lower_bound,selected_run,56_of_60_usage_bearing,Selected run absent from R2 trajectory archive.
google-gemini,router-gemini-3.1-pro,2026-06-30,2026-06-30,selected_full,router-gemini-3.1-pro/2026-06-30__14-57-05,19.6968138,selected_request_tier_rate_reconstruction,selected_run,60_of_60_and_930_request_tiers_verified,"All 930 requests <=200K; max prompt 66,438."
dashscope-qwen,router-qwen-3.7-plus,2026-06-04,2026-06-04,canary,router-qwen-3.7-plus/2026-06-04__02-32-42,,,preselected_run,artifact_level,
dashscope-qwen,router-qwen-3.7-plus,2026-06-15,2026-06-15,smoke,router-qwen-3.7-plus/2026-06-15__22-23-20,,,preselected_run,artifact_level,
dashscope-qwen,router-qwen-3.7-plus,,2026-06-19,provider_bill_detail,historical Qwen PAYG inference,1.310890,provider_billed_payg,predates_selected_run,historical_scope_only,$30 Token Plan overhead tracked separately.
dashscope-qwen,router-qwen-3.7-plus,2026-06-29,2026-06-29,selected_full,router-qwen-3.7-plus/2026-06-29__03-16-06,2.50442432,selected_retained_usage_lower_bound,selected_run,59_of_60_usage_bearing,All retained requests <=256K; one zero-metric trial unresolved.
moonshot-kimi,router-kimi-k2.6,2026-06-04,2026-06-04,canary,router-kimi-k2.6/2026-06-04__03-08-21,,,preselected_run,artifact_level,
moonshot-kimi,router-kimi-k2.6,2026-06-16,2026-06-16,smoke,router-kimi-k2.6/2026-06-16__04-43-33,,,preselected_run,artifact_level,
moonshot-kimi,router-kimi-k2.6,2026-06-04,2026-06-16,provider_request_logs_and_dashboard,103 requests / historical usage,1.91830,provider_dashboard_total,predates_selected_run,historical_scope_only,Pricing-derived request-log estimate $1.918399.
moonshot-kimi,router-kimi-k2.6,2026-06-28,2026-06-28,selected_full,router-kimi-k2.6/2026-06-28__13-28-55,6.34692415,selected_rate_reconstruction,selected_run,60_of_60_usage_bearing,
moonshot-kimi,router-kimi-k3,2026-07-22,2026-07-22,canary,router-kimi-k3/2026-07-22__14-54-02,,,preselected_run,artifact_level,Earlier canary.
moonshot-kimi,router-kimi-k3,2026-07-22,2026-07-22,canary,router-kimi-k3/2026-07-22__15-08-32,,,preselected_run,artifact_level,Successful retained canary.
moonshot-kimi,router-kimi-k3,2026-07-22,2026-07-22,smoke,router-kimi-k3/2026-07-22__15-25-50,,,preselected_run,artifact_level,
moonshot-kimi,router-kimi-k3,2026-07-22,2026-07-22,selected_full,router-kimi-k3/2026-07-22__17-51-05,26.570403,selected_rate_reconstruction,selected_run,60_of_60_usage_bearing,Retained rate constants; official dated pricing snapshot unavailable.
moonshot-kimi,router-kimi-k3,2026-07-22,2026-07-23,provider_request_log,"1,273-request kimi-k3 export",30.8143194,provider_log_rate_reconstruction_not_billed,overlaps_same_day_but_timezone_unproven,low,No request-to-run join; excess over selected retained usage is $4.2439164.
