arm_id	primary_category	runtime_band	count	missing_cost_count	needs_manual_review_count	representative_tasks	representative_matched_signals	confidence_floor
router-anthropic-opus	agent_timeout	long_exception_over_1200s	5	5	0	terminal-bench-2.0:llm-inference-batching-scheduler,terminal-bench-2.0:query-optimize,terminal-bench-2.0:schemelike-metacircular-eval	AgentTimeoutError	high
router-anthropic-opus	agent_timeout	mid_exception_90_to_1200s	2	2	0	terminal-bench-2.0:polyglot-rust-c	AgentTimeoutError	high
router-anthropic-sonnet	agent_timeout	long_exception_over_1200s	4	4	0	terminal-bench-2.0:custom-memory-heap-crash,terminal-bench-2.0:llm-inference-batching-scheduler,terminal-bench-2.0:schemelike-metacircular-eval	AgentTimeoutError	high
router-anthropic-sonnet	agent_timeout	mid_exception_90_to_1200s	4	4	0	terminal-bench-2.0:model-extraction-relu-logits,terminal-bench-2.0:polyglot-rust-c,terminal-bench-2.0:torch-pipeline-parallelism	AgentTimeoutError	high
router-anthropic-sonnet	nonzero_agent_exit	fast_exception_under_90s	12	12	0	terminal-bench-2.0:build-cython-ext,terminal-bench-2.0:cancel-async-tasks,terminal-bench-2.0:configure-git-webserver,terminal-bench-2.0:fix-code-vulnerability,terminal-bench-2.0:git-leak-recovery	NonZeroAgentExitCodeError	high
router-anthropic-sonnet	nonzero_agent_exit	long_exception_over_1200s	1	0	0	terminal-bench-2.0:custom-memory-heap-crash	NonZeroAgentExitCodeError	high
router-anthropic-sonnet	nonzero_agent_exit	mid_exception_90_to_1200s	2	2	0	terminal-bench-2.0:query-optimize,terminal-bench-2.0:torch-pipeline-parallelism	NonZeroAgentExitCodeError	high
router-deepseek-flash	agent_timeout	long_exception_over_1200s	3	3	0	terminal-bench-2.0:schemelike-metacircular-eval	AgentTimeoutError	high
router-deepseek-flash	agent_timeout	mid_exception_90_to_1200s	4	4	0	terminal-bench-2.0:password-recovery,terminal-bench-2.0:polyglot-rust-c	AgentTimeoutError	high
router-deepseek-flash	model_loop_or_stall	long_exception_over_1200s	1	0	0	terminal-bench-2.0:query-optimize	loop	medium
router-deepseek-pro	agent_timeout	long_exception_over_1200s	1	1	0	terminal-bench-2.0:model-extraction-relu-logits	AgentTimeoutError	high
router-deepseek-pro	agent_timeout	mid_exception_90_to_1200s	3	3	0	terminal-bench-2.0:polyglot-rust-c	AgentTimeoutError	high
router-deepseek-pro	model_loop_or_stall	long_exception_over_1200s	3	0	0	terminal-bench-2.0:query-optimize	loop	medium
router-gemini-3.1-pro	agent_timeout	long_exception_over_1200s	2	2	0	terminal-bench-2.0:query-optimize	AgentTimeoutError	high
router-gemini-3.1-pro	agent_timeout	mid_exception_90_to_1200s	14	14	0	terminal-bench-2.0:build-cython-ext,terminal-bench-2.0:configure-git-webserver,terminal-bench-2.0:fix-code-vulnerability,terminal-bench-2.0:git-leak-recovery,terminal-bench-2.0:model-extraction-relu-logits	AgentTimeoutError	high
router-gemini-flash	agent_timeout	long_exception_over_1200s	10	10	0	terminal-bench-2.0:custom-memory-heap-crash,terminal-bench-2.0:llm-inference-batching-scheduler,terminal-bench-2.0:mteb-retrieve,terminal-bench-2.0:query-optimize,terminal-bench-2.0:schemelike-metacircular-eval	AgentTimeoutError	high
router-gemini-flash	agent_timeout	mid_exception_90_to_1200s	28	28	0	terminal-bench-2.0:build-cython-ext,terminal-bench-2.0:cancel-async-tasks,terminal-bench-2.0:configure-git-webserver,terminal-bench-2.0:fix-code-vulnerability,terminal-bench-2.0:git-leak-recovery	AgentTimeoutError	high
router-gemini-flash	nonzero_agent_exit	long_exception_over_1200s	1	1	0	terminal-bench-2.0:llm-inference-batching-scheduler	NonZeroAgentExitCodeError	high
router-gemini-flash	nonzero_agent_exit	mid_exception_90_to_1200s	2	1	0	terminal-bench-2.0:build-cython-ext,terminal-bench-2.0:portfolio-optimization	NonZeroAgentExitCodeError	high
router-glm-5.1	agent_timeout	long_exception_over_1200s	4	4	0	terminal-bench-2.0:query-optimize,terminal-bench-2.0:schemelike-metacircular-eval	AgentTimeoutError	high
router-glm-5.1	agent_timeout	mid_exception_90_to_1200s	6	6	0	terminal-bench-2.0:model-extraction-relu-logits,terminal-bench-2.0:polyglot-rust-c,terminal-bench-2.0:torch-pipeline-parallelism	AgentTimeoutError	high
router-glm-5.1	nonzero_agent_exit	mid_exception_90_to_1200s	6	5	0	terminal-bench-2.0:build-cython-ext,terminal-bench-2.0:model-extraction-relu-logits,terminal-bench-2.0:nginx-request-logging,terminal-bench-2.0:openssl-selfsigned-cert,terminal-bench-2.0:schemelike-metacircular-eval	NonZeroAgentExitCodeError	high
router-glm-5.2	agent_timeout	long_exception_over_1200s	8	8	0	terminal-bench-2.0:custom-memory-heap-crash,terminal-bench-2.0:llm-inference-batching-scheduler,terminal-bench-2.0:query-optimize,terminal-bench-2.0:schemelike-metacircular-eval	AgentTimeoutError	high
router-glm-5.2	agent_timeout	mid_exception_90_to_1200s	9	9	0	terminal-bench-2.0:model-extraction-relu-logits,terminal-bench-2.0:password-recovery,terminal-bench-2.0:polyglot-rust-c,terminal-bench-2.0:torch-pipeline-parallelism	AgentTimeoutError	high
router-glm-5.2	model_loop_or_stall	long_exception_over_1200s	2	0	0	terminal-bench-2.0:query-optimize	loop	medium
router-gpt-5.4	agent_timeout	long_exception_over_1200s	2	2	0	terminal-bench-2.0:query-optimize,terminal-bench-2.0:schemelike-metacircular-eval	AgentTimeoutError	high
router-gpt-5.4	agent_timeout	mid_exception_90_to_1200s	2	2	0	terminal-bench-2.0:polyglot-rust-c	AgentTimeoutError	high
router-gpt-5.4	model_loop_or_stall	long_exception_over_1200s	2	0	0	terminal-bench-2.0:query-optimize	loop	medium
router-gpt-5.4	nonzero_agent_exit	mid_exception_90_to_1200s	1	0	0	terminal-bench-2.0:llm-inference-batching-scheduler	NonZeroAgentExitCodeError	high
router-gpt-5.5	agent_timeout	long_exception_over_1200s	4	4	0	terminal-bench-2.0:query-optimize,terminal-bench-2.0:schemelike-metacircular-eval	AgentTimeoutError	high
router-grok-build-0.1	agent_timeout	long_exception_over_1200s	5	5	0	terminal-bench-2.0:model-extraction-relu-logits,terminal-bench-2.0:schemelike-metacircular-eval,terminal-bench-2.0:torch-pipeline-parallelism	AgentTimeoutError	high
router-grok-build-0.1	agent_timeout	mid_exception_90_to_1200s	5	5	0	terminal-bench-2.0:cancel-async-tasks,terminal-bench-2.0:model-extraction-relu-logits,terminal-bench-2.0:password-recovery,terminal-bench-2.0:polyglot-rust-c	AgentTimeoutError	high
router-grok-build-0.1	nonzero_agent_exit	long_exception_over_1200s	1	0	0	terminal-bench-2.0:schemelike-metacircular-eval	NonZeroAgentExitCodeError	high
router-grok-build-0.1	nonzero_agent_exit	mid_exception_90_to_1200s	2	1	0	terminal-bench-2.0:model-extraction-relu-logits,terminal-bench-2.0:polyglot-rust-c	NonZeroAgentExitCodeError	high
router-kimi-k2.6	agent_timeout	long_exception_over_1200s	6	6	0	terminal-bench-2.0:llm-inference-batching-scheduler,terminal-bench-2.0:model-extraction-relu-logits,terminal-bench-2.0:query-optimize,terminal-bench-2.0:schemelike-metacircular-eval	AgentTimeoutError	high
router-kimi-k2.6	agent_timeout	mid_exception_90_to_1200s	2	2	0	terminal-bench-2.0:password-recovery,terminal-bench-2.0:torch-pipeline-parallelism	AgentTimeoutError	high
router-kimi-k2.6	nonzero_agent_exit	mid_exception_90_to_1200s	6	0	0	terminal-bench-2.0:password-recovery,terminal-bench-2.0:polyglot-rust-c,terminal-bench-2.0:schemelike-metacircular-eval	NonZeroAgentExitCodeError	high
router-qwen-3.7-plus	agent_timeout	long_exception_over_1200s	9	9	0	terminal-bench-2.0:llm-inference-batching-scheduler,terminal-bench-2.0:query-optimize,terminal-bench-2.0:schemelike-metacircular-eval	AgentTimeoutError	high
router-qwen-3.7-plus	agent_timeout	mid_exception_90_to_1200s	8	8	0	terminal-bench-2.0:build-cython-ext,terminal-bench-2.0:model-extraction-relu-logits,terminal-bench-2.0:polyglot-rust-c,terminal-bench-2.0:torch-pipeline-parallelism	AgentTimeoutError	high
router-qwen-3.7-plus	nonzero_agent_exit	mid_exception_90_to_1200s	2	0	0	terminal-bench-2.0:password-recovery	NonZeroAgentExitCodeError	high
