check_id,check_name,status,details
api_key_family_coverage,All active Phase 3 API-key families represented,pass,"Anthropic, DeepSeek, OpenAI, Gemini, xAI/Grok, Moonshot/Kimi, Z.AI/GLM, and Alibaba/Qwen are represented."
provider_reconciled_families,Provider-cost reconciled families,partial,"OpenAI, DeepSeek, Z.AI/GLM, and Alibaba/Qwen have provider-side billing or bill-detail evidence."
billing_level_families,Billing-level only families,partial,"Gemini has billing-level reconciliation but lacks detailed provider model/token export."
internal_accepted_families,Internal-record accepted families,partial,"Anthropic lacks provider export access, but Phase 1/2 appeared correct and Phase 3 canary/smoke internal records are accepted for planning."
estimated_families,Pricing-estimated families,partial,"Moonshot/Kimi is request-log-estimated because token rows are available but billed cost is not."
pending_provider_exports,Provider export gaps remain,open,"xAI/Grok provider export remains pending; Moonshot/Kimi billed-cost export remains pending; Anthropic provider export remains unavailable."
overhead_separation,Subscriptions and overhead separated,pass,"Qwen Token Plan Team Edition is tracked as account overhead and not merged into benchmark marginal model cost."
raw_export_policy,Raw provider exports excluded,pass,"Canonical docs/CSVs contain normalized totals only; raw provider exports, ZIPs, screenshots, account identifiers, and invoice/payment IDs should remain uncommitted."
full_sweep_readiness_cost,Cost basis sufficient for funding plan,pass_with_caveats,"Sufficient for preliminary full-sweep funding allocation by API-key family; update after smoke-derived estimates and any new provider exports."
dashboard_readiness,Dashboard fields identified,pass,"Provider family, API-key family, reconciliation status, benchmark estimate, provider-billed cost, account spend, overhead, and remaining gap are represented in the canonical ledger."
