arm_dir,backend,model_backend,agent_name,agent_version,agent_model_info,task_name,trial_name,trial_uri,source,task_checksum,task_git_url,task_git_commit_id,task_path,reward,success,failure_mode,exception_type,exception_message,started_at,finished_at,wall_clock_seconds,environment_setup_seconds,agent_setup_seconds,agent_execution_seconds,verifier_seconds,n_input_tokens,n_cache_tokens,n_output_tokens,provider_reported_cost_usd,computed_cache_aware_cost_usd,effective_cost_usd,input_cache_miss_usd_per_million,input_cache_hit_usd_per_million,output_usd_per_million,result_json,trial_dir,agent_turns,tool_calls,bash_calls,edit_write_calls,read_search_calls,unique_tool_count,repeated_bash_commands,tool_counts_json
arm-a-anthropic,anthropic,claude-sonnet-4-6,claude-code,2.1.140,"{""name"": ""claude-sonnet-4-6"", ""provider"": ""anthropic""}",multi-source-data-merger,multi-source-data-merger__dRfgK7J,file:///home/nick/Code/cc-deepseek-bench/results/arm-a-anthropic/2026-05-13__13-32-10/multi-source-data-merger__dRfgK7J,terminal-bench,0f86ced6d81948760d828ee03060c28c44eb7244e7ef72442c18dc1c71115280,https://github.com/laude-institute/terminal-bench-2.git,69671fbaac6d67a7ef0dfec016cc38a64ef7a77c,multi-source-data-merger,1.0,True,success,,,2026-05-13T19:10:32.209414Z,2026-05-13T19:12:30.815774Z,118.60636,12.156099,37.67058,47.08988,10.853646,98695,88989,3580,0.1167897,0.10951469999999999,0.1167897,3.0,0.3,15.0,results/arm-a-anthropic/2026-05-13__13-32-10/multi-source-data-merger__dRfgK7J/result.json,results/arm-a-anthropic/2026-05-13__13-32-10/multi-source-data-merger__dRfgK7J,11,6,4,1,1,3,0,"{""Bash"": 4, ""Read"": 1, ""Write"": 1}"
arm-a-anthropic,anthropic,claude-sonnet-4-6,claude-code,2.1.140,"{""name"": ""claude-sonnet-4-6"", ""provider"": ""anthropic""}",cancel-async-tasks,cancel-async-tasks__cj9izgL,file:///home/nick/Code/cc-deepseek-bench/results/arm-a-anthropic/2026-05-13__13-32-10/cancel-async-tasks__cj9izgL,terminal-bench,283c70ca90688dc09a969d24e3ed137ba0f00d23018df68771bdf86526b82047,https://github.com/laude-institute/terminal-bench-2.git,69671fbaac6d67a7ef0dfec016cc38a64ef7a77c,cancel-async-tasks,0.0,False,produced-wrong-output,,,2026-05-13T19:31:17.002832Z,2026-05-13T19:32:52.713393Z,95.710561,1.62827,25.603807,40.00105,17.89166,36920,28816,3113,0.08572755,0.0796518,0.08572755,3.0,0.3,15.0,results/arm-a-anthropic/2026-05-13__13-32-10/cancel-async-tasks__cj9izgL/result.json,results/arm-a-anthropic/2026-05-13__13-32-10/cancel-async-tasks__cj9izgL,4,1,0,1,0,1,0,"{""Write"": 1}"
arm-a-anthropic,anthropic,claude-sonnet-4-6,claude-code,2.1.140,"{""name"": ""claude-sonnet-4-6"", ""provider"": ""anthropic""}",torch-pipeline-parallelism,torch-pipeline-parallelism__GtXvuEU,file:///home/nick/Code/cc-deepseek-bench/results/arm-a-anthropic/2026-05-13__13-32-10/torch-pipeline-parallelism__GtXvuEU,terminal-bench,3d4bac3d36d63a48403936af61510e24cce92d6650ab4e4b9b21e1192b183646,https://github.com/laude-institute/terminal-bench-2.git,69671fbaac6d67a7ef0dfec016cc38a64ef7a77c,torch-pipeline-parallelism,0.0,False,produced-wrong-output,,,2026-05-13T18:32:01.634114Z,2026-05-13T18:45:56.959495Z,835.325381,1.847128,31.954528,414.5197,375.879951,84235,40999,31923,0.67389855,0.6208527,0.67389855,3.0,0.3,15.0,results/arm-a-anthropic/2026-05-13__13-32-10/torch-pipeline-parallelism__GtXvuEU/result.json,results/arm-a-anthropic/2026-05-13__13-32-10/torch-pipeline-parallelism__GtXvuEU,15,10,8,1,0,3,0,"{""Agent"": 1, ""Bash"": 8, ""Write"": 1}"
arm-a-anthropic,anthropic,claude-sonnet-4-6,claude-code,2.1.140,"{""name"": ""claude-sonnet-4-6"", ""provider"": ""anthropic""}",query-optimize,query-optimize__WHzatf5,file:///home/nick/Code/cc-deepseek-bench/results/arm-a-anthropic/2026-05-13__13-32-10/query-optimize__WHzatf5,terminal-bench,7f8deb25dce590b8d6b811bd0fc20ce5c815b109da44ec027a48065df6a81dec,https://github.com/laude-institute/terminal-bench-2.git,69671fbaac6d67a7ef0dfec016cc38a64ef7a77c,query-optimize,1.0,True,success,,,2026-05-13T19:19:21.726905Z,2026-05-13T19:31:17.001227Z,715.274322,4.702529,23.762109,374.707743,301.484316,246059,232572,6092,0.23541845,0.20161260000000003,0.23541845,3.0,0.3,15.0,results/arm-a-anthropic/2026-05-13__13-32-10/query-optimize__WHzatf5/result.json,results/arm-a-anthropic/2026-05-13__13-32-10/query-optimize__WHzatf5,28,13,9,1,2,4,0,"{""Agent"": 1, ""Bash"": 9, ""Read"": 2, ""Write"": 1}"
arm-a-anthropic,anthropic,claude-sonnet-4-6,claude-code,2.1.140,"{""name"": ""claude-sonnet-4-6"", ""provider"": ""anthropic""}",portfolio-optimization,portfolio-optimization__bwxKEtt,file:///home/nick/Code/cc-deepseek-bench/results/arm-a-anthropic/2026-05-13__13-32-10/portfolio-optimization__bwxKEtt,terminal-bench,da8a95d2c518a70ef66e47f3571fffd3f9172334c1c24e01d9ee232bdebd428c,https://github.com/laude-institute/terminal-bench-2.git,69671fbaac6d67a7ef0dfec016cc38a64ef7a77c,portfolio-optimization,1.0,True,success,,,2026-05-13T19:05:07.887059Z,2026-05-13T19:10:32.207361Z,324.320302,6.562951,27.784565,164.685198,114.622054,177862,155767,9989,0.2773656,0.2628501,0.2773656,3.0,0.3,15.0,results/arm-a-anthropic/2026-05-13__13-32-10/portfolio-optimization__bwxKEtt/result.json,results/arm-a-anthropic/2026-05-13__13-32-10/portfolio-optimization__bwxKEtt,17,11,2,2,7,4,0,"{""Bash"": 2, ""Glob"": 2, ""Read"": 5, ""Write"": 2}"
arm-a-anthropic,anthropic,claude-sonnet-4-6,claude-code,2.1.140,"{""name"": ""claude-sonnet-4-6"", ""provider"": ""anthropic""}",schemelike-metacircular-eval,schemelike-metacircular-eval__dUkuqTw,file:///home/nick/Code/cc-deepseek-bench/results/arm-a-anthropic/2026-05-13__13-32-10/schemelike-metacircular-eval__dUkuqTw,terminal-bench,1a22feed1eb95a28db822ff01af36ae16aa219e54ac6a4884fa55a045138607a,https://github.com/laude-institute/terminal-bench-2.git,69671fbaac6d67a7ef0dfec016cc38a64ef7a77c,schemelike-metacircular-eval,0.0,False,timed-out,AgentTimeoutError,Agent execution timed out after 2400.0 seconds,2026-05-13T17:42:24.542333Z,2026-05-13T18:23:28.634152Z,2464.091819,1.724999,40.32102,2400.001138,11.188918,213225,156221,96928,,1.6717983,1.6717983,3.0,0.3,15.0,results/arm-a-anthropic/2026-05-13__13-32-10/schemelike-metacircular-eval__dUkuqTw/result.json,results/arm-a-anthropic/2026-05-13__13-32-10/schemelike-metacircular-eval__dUkuqTw,58,46,2,0,43,3,0,"{""Agent"": 1, ""Bash"": 2, ""Read"": 43}"
arm-a-anthropic,anthropic,claude-sonnet-4-6,claude-code,2.1.140,"{""name"": ""claude-sonnet-4-6"", ""provider"": ""anthropic""}",query-optimize,query-optimize__AeXcct4,file:///home/nick/Code/cc-deepseek-bench/results/arm-a-anthropic/2026-05-13__13-32-10/query-optimize__AeXcct4,terminal-bench,7f8deb25dce590b8d6b811bd0fc20ce5c815b109da44ec027a48065df6a81dec,https://github.com/laude-institute/terminal-bench-2.git,69671fbaac6d67a7ef0dfec016cc38a64ef7a77c,query-optimize,0.0,False,produced-wrong-output,,,2026-05-13T17:58:13.676460Z,2026-05-13T18:09:04.930186Z,651.253726,4.689973,26.46111,313.127209,296.103256,274561,253024,13584,0.38364085,0.3442782,0.38364085,3.0,0.3,15.0,results/arm-a-anthropic/2026-05-13__13-32-10/query-optimize__AeXcct4/result.json,results/arm-a-anthropic/2026-05-13__13-32-10/query-optimize__AeXcct4,30,14,9,1,1,6,0,"{""Agent"": 1, ""Bash"": 9, ""Read"": 1, ""TaskOutput"": 1, ""ToolSearch"": 1, ""Write"": 1}"
arm-a-anthropic,anthropic,claude-sonnet-4-6,claude-code,2.1.140,"{""name"": ""claude-sonnet-4-6"", ""provider"": ""anthropic""}",openssl-selfsigned-cert,openssl-selfsigned-cert__5UPDn38,file:///home/nick/Code/cc-deepseek-bench/results/arm-a-anthropic/2026-05-13__13-32-10/openssl-selfsigned-cert__5UPDn38,terminal-bench,8c096d8af92f88d8f876e26efc7f495ff13f50586736e56f35140fbb080ff390,https://github.com/laude-institute/terminal-bench-2.git,69671fbaac6d67a7ef0dfec016cc38a64ef7a77c,openssl-selfsigned-cert,1.0,True,success,,,2026-05-13T19:37:48.817528Z,2026-05-13T19:38:51.404183Z,62.586655,1.649579,24.636435,20.442442,5.260959,125011,118260,1180,0.07848825,0.073431,0.07848825,3.0,0.3,15.0,results/arm-a-anthropic/2026-05-13__13-32-10/openssl-selfsigned-cert__5UPDn38/result.json,results/arm-a-anthropic/2026-05-13__13-32-10/openssl-selfsigned-cert__5UPDn38,9,6,5,1,0,2,0,"{""Bash"": 5, ""Write"": 1}"
arm-a-anthropic,anthropic,claude-sonnet-4-6,claude-code,2.1.140,"{""name"": ""claude-sonnet-4-6"", ""provider"": ""anthropic""}",model-extraction-relu-logits,model-extraction-relu-logits__VjNivrM,file:///home/nick/Code/cc-deepseek-bench/results/arm-a-anthropic/2026-05-13__13-32-10/model-extraction-relu-logits__VjNivrM,terminal-bench,d0dd8f420350bee97f2d47a2b0c74996be0146aa7bd6f8a1871d9629200dc359,https://github.com/laude-institute/terminal-bench-2.git,69671fbaac6d67a7ef0dfec016cc38a64ef7a77c,model-extraction-relu-logits,0.0,False,produced-wrong-output,,,2026-05-13T19:33:45.414204Z,2026-05-13T19:47:18.653801Z,813.239597,3.054275,26.167294,735.487145,37.934787,440808,359801,40667,1.0217140500000002,0.9609662999999999,1.0217140500000002,3.0,0.3,15.0,results/arm-a-anthropic/2026-05-13__13-32-10/model-extraction-relu-logits__VjNivrM/result.json,results/arm-a-anthropic/2026-05-13__13-32-10/model-extraction-relu-logits__VjNivrM,23,8,5,2,1,4,1,"{""Bash"": 5, ""Edit"": 1, ""Read"": 1, ""Write"": 1}"
arm-a-anthropic,anthropic,claude-sonnet-4-6,claude-code,2.1.140,"{""name"": ""claude-sonnet-4-6"", ""provider"": ""anthropic""}",llm-inference-batching-scheduler,llm-inference-batching-scheduler__NntAMkU,file:///home/nick/Code/cc-deepseek-bench/results/arm-a-anthropic/2026-05-13__13-32-10/llm-inference-batching-scheduler__NntAMkU,terminal-bench,3a08e63e0643ea5914eedeecb08cb93a1f0a10b9dc7d19d1f570004af84531c8,https://github.com/laude-institute/terminal-bench-2.git,69671fbaac6d67a7ef0dfec016cc38a64ef7a77c,llm-inference-batching-scheduler,1.0,True,success,,,2026-05-13T18:54:20.284474Z,2026-05-13T19:19:21.725126Z,1501.440652,1.897885,26.773072,1456.616054,5.568273,1593874,1329654,99415,2.8784254499999995,2.6827812,2.8784254499999995,3.0,0.3,15.0,results/arm-a-anthropic/2026-05-13__13-32-10/llm-inference-batching-scheduler__NntAMkU/result.json,results/arm-a-anthropic/2026-05-13__13-32-10/llm-inference-batching-scheduler__NntAMkU,43,21,14,2,2,5,0,"{""Bash"": 14, ""Read"": 2, ""TodoWrite"": 2, ""ToolSearch"": 1, ""Write"": 2}"
