task_id	arm_count	trial_count	success_count	exception_count	suspect_noop_count	normal_failure_count	review_priority	qualitative_summary
terminal-bench-2.0:build-cython-ext	15	45	27	8	0	11	high	""
terminal-bench-2.0:cancel-async-tasks	15	45	21	5	0	20	high	""
terminal-bench-2.0:configure-git-webserver	15	45	20	7	0	19	high	""
terminal-bench-2.0:custom-memory-heap-crash	15	45	36	9	0	1	high	""
terminal-bench-2.0:fix-code-vulnerability	15	45	40	5	0	1	high	""
terminal-bench-2.0:git-leak-recovery	15	45	40	3	0	2	medium	""
terminal-bench-2.0:llm-inference-batching-scheduler	15	45	31	12	0	3	high	""
terminal-bench-2.0:model-extraction-relu-logits	15	45	1	23	2	19	high	""
terminal-bench-2.0:modernize-scientific-stack	15	45	43	1	0	2	medium	""
terminal-bench-2.0:mteb-retrieve	15	45	6	1	1	37	medium	""
terminal-bench-2.0:multi-source-data-merger	15	45	43	3	0	0	medium	""
terminal-bench-2.0:nginx-request-logging	15	45	42	4	0	0	medium	""
terminal-bench-2.0:openssl-selfsigned-cert	15	45	31	5	0	9	high	""
terminal-bench-2.0:password-recovery	15	45	21	17	0	7	high	""
terminal-bench-2.0:polyglot-rust-c	15	45	1	22	1	21	high	""
terminal-bench-2.0:portfolio-optimization	15	45	40	1	0	4	medium	""
terminal-bench-2.0:query-optimize	15	45	6	31	0	10	high	""
terminal-bench-2.0:schemelike-metacircular-eval	15	45	18	27	0	4	high	""
terminal-bench-2.0:sqlite-db-truncate	15	45	38	4	0	3	medium	""
terminal-bench-2.0:torch-pipeline-parallelism	15	45	10	18	0	18	high	""
