arm_id,selected_run_label,provider,backend_model,reporting_selected_cost_usd,reporting_selected_cost_relation,contract_state,authority_class,normalized_usage_reconciliation,normalized_cost_reconciliation,usage_authority,usage_validation_status,cost_basis,cost_relation,cost_validation_status,usage_source_roles,cost_source_roles,accepted_absence_reason,ledger_sha256,private_inventory_sha256,private_contract_sha256
router-anthropic-fable-5,router-anthropic-fable-5/2026-07-11__12-15-55,anthropic,claude-fable-5,64.80504500,exact,accepted_absence_anthropic_not_normalized,reporting_only_no_normalized_reconciliation,false,false,,,,,,,,"Selected-run reporting retains provider-rate reconstructed cost evidence, but no first-party Anthropic provider evidence was normalized into the migration-011 tables. Absence is accepted rather than treated as an ingestion defect.",43e731eeceb01b78e51a071b53f1b25bd9a1aaccc5ba3cc30722c1322d914256,7c3ffad57afdfa4c672152178281699652f14b4d739336ba793076c603b3ac24,a7d6f1518a97b922d8c2a087c76f06e216251c629a59e27bd5ee8952085abeb0
router-anthropic-haiku-sanitized,router-anthropic-haiku-sanitized/2026-07-12__03-25-22,anthropic,claude-haiku-4-5-20251001,16.70224485,exact,accepted_absence_anthropic_not_normalized,reporting_only_no_normalized_reconciliation,false,false,,,,,,,,"Selected-run reporting retains provider-rate reconstructed cost evidence, but no first-party Anthropic provider evidence was normalized into the migration-011 tables. Absence is accepted rather than treated as an ingestion defect.",43e731eeceb01b78e51a071b53f1b25bd9a1aaccc5ba3cc30722c1322d914256,7c3ffad57afdfa4c672152178281699652f14b4d739336ba793076c603b3ac24,a7d6f1518a97b922d8c2a087c76f06e216251c629a59e27bd5ee8952085abeb0
router-anthropic-opus,router-anthropic-opus/2026-07-01__12-15-57,anthropic,claude-opus-4-7,50.28831125,lower_bound,accepted_absence_anthropic_not_normalized,reporting_only_no_normalized_reconciliation,false,false,,,,,,,,"Selected-run reporting retains provider-rate reconstructed cost evidence, but no first-party Anthropic provider evidence was normalized into the migration-011 tables. Absence is accepted rather than treated as an ingestion defect.",43e731eeceb01b78e51a071b53f1b25bd9a1aaccc5ba3cc30722c1322d914256,7c3ffad57afdfa4c672152178281699652f14b4d739336ba793076c603b3ac24,a7d6f1518a97b922d8c2a087c76f06e216251c629a59e27bd5ee8952085abeb0
router-anthropic-sonnet,router-anthropic-sonnet/2026-06-27__01-30-11,anthropic,claude-sonnet-4-6,38.38591710,lower_bound,accepted_absence_anthropic_not_normalized,reporting_only_no_normalized_reconciliation,false,false,,,,,,,,"Selected-run reporting retains provider-rate reconstructed cost evidence, but no first-party Anthropic provider evidence was normalized into the migration-011 tables. Absence is accepted rather than treated as an ingestion defect.",43e731eeceb01b78e51a071b53f1b25bd9a1aaccc5ba3cc30722c1322d914256,7c3ffad57afdfa4c672152178281699652f14b4d739336ba793076c603b3ac24,a7d6f1518a97b922d8c2a087c76f06e216251c629a59e27bd5ee8952085abeb0
router-deepseek-flash,router-deepseek-flash/2026-06-28__13-28-50,deepseek,deepseek-v4-flash,1.0798358032,estimate,normalized_qualified_rate_estimate,qualified_harness_usage_provider_rate_reconstruction,true,true,harness_usage_validated,validated_qualified,provider_rate_reconstructed_harness_usage_validated,estimate,validated_qualified,context;model_identity,context;pricing;rate_reconstruction,,43e731eeceb01b78e51a071b53f1b25bd9a1aaccc5ba3cc30722c1322d914256,7c3ffad57afdfa4c672152178281699652f14b4d739336ba793076c603b3ac24,a7d6f1518a97b922d8c2a087c76f06e216251c629a59e27bd5ee8952085abeb0
router-deepseek-pro,router-deepseek-pro/2026-06-19__13-47-59,deepseek,deepseek-v4-pro,1.899724634,estimate,normalized_qualified_rate_estimate,qualified_harness_usage_provider_rate_reconstruction,true,true,harness_usage_validated,validated_qualified,provider_rate_reconstructed_harness_usage_validated,estimate,validated_qualified,context;model_identity,context;pricing;rate_reconstruction,,43e731eeceb01b78e51a071b53f1b25bd9a1aaccc5ba3cc30722c1322d914256,7c3ffad57afdfa4c672152178281699652f14b4d739336ba793076c603b3ac24,a7d6f1518a97b922d8c2a087c76f06e216251c629a59e27bd5ee8952085abeb0
router-gemini-3.1-pro,router-gemini-3.1-pro/2026-06-30__14-57-05,google-gemini,gemini-3.1-pro-preview,19.6968138,estimate,normalized_qualified_rate_estimate,qualified_harness_usage_provider_rate_reconstruction,true,true,harness_usage_validated,validated_qualified,provider_rate_reconstructed_harness_usage_validated,estimate,validated_qualified,aggregate_usage;model_identity,context;pricing;rate_reconstruction,,43e731eeceb01b78e51a071b53f1b25bd9a1aaccc5ba3cc30722c1322d914256,7c3ffad57afdfa4c672152178281699652f14b4d739336ba793076c603b3ac24,a7d6f1518a97b922d8c2a087c76f06e216251c629a59e27bd5ee8952085abeb0
router-gemini-flash,router-gemini-flash/2026-06-27__01-30-20,google-gemini,gemini-3.5-flash,16.12091625,lower_bound,normalized_qualified_lower_bound,qualified_lower_bound_provider_evidence,true,true,harness_usage_validated,validated_qualified,lower_bound_provider_evidence,lower_bound,validated_qualified,aggregate_usage;model_identity,context;lower_bound;pricing,,43e731eeceb01b78e51a071b53f1b25bd9a1aaccc5ba3cc30722c1322d914256,7c3ffad57afdfa4c672152178281699652f14b4d739336ba793076c603b3ac24,a7d6f1518a97b922d8c2a087c76f06e216251c629a59e27bd5ee8952085abeb0
router-glm-5.1,router-glm-5.1/2026-06-28__13-28-50,zai-glm,glm-5.1,5.3316552,estimate,accepted_absence_glm_deliberate_empty,reporting_estimate_not_normalized,false,false,,,,,,,,"No allocable selected-run first-party Z.AI provider evidence is retained. Historical GLM provider context is not promoted to selected-run authority, so the normalized provider-evidence state remains deliberately empty.",43e731eeceb01b78e51a071b53f1b25bd9a1aaccc5ba3cc30722c1322d914256,7c3ffad57afdfa4c672152178281699652f14b4d739336ba793076c603b3ac24,a7d6f1518a97b922d8c2a087c76f06e216251c629a59e27bd5ee8952085abeb0
router-glm-5.2,router-glm-5.2/2026-06-19__13-47-51,zai-glm,glm-5.2,8.9016736,estimate,accepted_absence_glm_deliberate_empty,reporting_estimate_not_normalized,false,false,,,,,,,,"No allocable selected-run first-party Z.AI provider evidence is retained. Historical GLM provider context is not promoted to selected-run authority, so the normalized provider-evidence state remains deliberately empty.",43e731eeceb01b78e51a071b53f1b25bd9a1aaccc5ba3cc30722c1322d914256,7c3ffad57afdfa4c672152178281699652f14b4d739336ba793076c603b3ac24,a7d6f1518a97b922d8c2a087c76f06e216251c629a59e27bd5ee8952085abeb0
router-gpt-5.4,router-gpt-5.4/2026-06-19__13-47-51,openai,gpt-5.4,29.7919335,exact,normalized_exact_provider_billed,selected_run_first_party_exact,true,true,provider_aggregate_usage,validated_exact,provider_billed,exact,validated_exact,aggregate_usage,billed,,43e731eeceb01b78e51a071b53f1b25bd9a1aaccc5ba3cc30722c1322d914256,7c3ffad57afdfa4c672152178281699652f14b4d739336ba793076c603b3ac24,a7d6f1518a97b922d8c2a087c76f06e216251c629a59e27bd5ee8952085abeb0
router-gpt-5.5,router-gpt-5.5/2026-06-27__01-30-18,openai,gpt-5.5,48.604914,exact,normalized_exact_provider_billed,selected_run_first_party_exact,true,true,provider_aggregate_usage,validated_exact,provider_billed,exact,validated_exact,aggregate_usage,billed,,43e731eeceb01b78e51a071b53f1b25bd9a1aaccc5ba3cc30722c1322d914256,7c3ffad57afdfa4c672152178281699652f14b4d739336ba793076c603b3ac24,a7d6f1518a97b922d8c2a087c76f06e216251c629a59e27bd5ee8952085abeb0
router-grok-build-0.1,router-grok-build-0.1/2026-06-28__13-28-55,xai,grok-build-0.1,6.418694,lower_bound,normalized_qualified_lower_bound,qualified_lower_bound_provider_evidence,true,true,harness_usage_validated,validated_qualified,lower_bound_provider_evidence,lower_bound,validated_qualified,aggregate_usage;model_identity,context;lower_bound;pricing,,43e731eeceb01b78e51a071b53f1b25bd9a1aaccc5ba3cc30722c1322d914256,7c3ffad57afdfa4c672152178281699652f14b4d739336ba793076c603b3ac24,a7d6f1518a97b922d8c2a087c76f06e216251c629a59e27bd5ee8952085abeb0
router-kimi-k2.6,router-kimi-k2.6/2026-06-28__13-28-55,moonshot-kimi,kimi-k2.6,6.34692415,estimate,normalized_qualified_rate_estimate,qualified_harness_usage_provider_rate_reconstruction,true,true,harness_usage_validated,validated_qualified,provider_rate_reconstructed_harness_usage_validated,estimate,validated_qualified,aggregate_usage;context;model_identity,context;pricing;rate_reconstruction,,43e731eeceb01b78e51a071b53f1b25bd9a1aaccc5ba3cc30722c1322d914256,7c3ffad57afdfa4c672152178281699652f14b4d739336ba793076c603b3ac24,a7d6f1518a97b922d8c2a087c76f06e216251c629a59e27bd5ee8952085abeb0
router-kimi-k3,router-kimi-k3/2026-07-22__17-51-05,moonshot-kimi,kimi-k3,26.570403,estimate,normalized_qualified_rate_estimate,qualified_harness_usage_provider_rate_reconstruction,true,true,harness_usage_validated,validated_qualified,provider_rate_reconstructed_harness_usage_validated,estimate,validated_qualified,aggregate_usage;context;model_identity,context;pricing;rate_reconstruction,,43e731eeceb01b78e51a071b53f1b25bd9a1aaccc5ba3cc30722c1322d914256,7c3ffad57afdfa4c672152178281699652f14b4d739336ba793076c603b3ac24,a7d6f1518a97b922d8c2a087c76f06e216251c629a59e27bd5ee8952085abeb0
router-qwen-3.7-plus,router-qwen-3.7-plus/2026-06-29__03-16-06,dashscope-qwen,qwen3.7-plus,2.50442432,lower_bound,normalized_qualified_lower_bound,qualified_lower_bound_provider_evidence,true,true,harness_usage_validated,validated_qualified,lower_bound_provider_evidence,lower_bound,validated_qualified,aggregate_usage;context;model_identity,context;lower_bound;pricing,,43e731eeceb01b78e51a071b53f1b25bd9a1aaccc5ba3cc30722c1322d914256,7c3ffad57afdfa4c672152178281699652f14b4d739336ba793076c603b3ac24,a7d6f1518a97b922d8c2a087c76f06e216251c629a59e27bd5ee8952085abeb0
