task_id	task_slug	task_family	task_family_label	rationale	taxonomy_status
terminal-bench-2.0:build-cython-ext	build-cython-ext	build-packaging	Build, packaging, and dependency modernization	build or dependency stack work	heuristic_review
terminal-bench-2.0:cancel-async-tasks	cancel-async-tasks	concurrency-async	Concurrency and async control flow	async cancellation/control-flow task	heuristic_review
terminal-bench-2.0:configure-git-webserver	configure-git-webserver	web-networking	Web, networking, and service configuration	web/service logging or configuration task	heuristic_review
terminal-bench-2.0:custom-memory-heap-crash	custom-memory-heap-crash	systems-low-level	Systems, low-level, and polyglot implementation	low-level systems or interop task	heuristic_review
terminal-bench-2.0:fix-code-vulnerability	fix-code-vulnerability	security-crypto	Security, cryptography, and recovery	security/crypto/recovery task	heuristic_review
terminal-bench-2.0:git-leak-recovery	git-leak-recovery	security-crypto	Security, cryptography, and recovery	security/crypto/recovery task	heuristic_review
terminal-bench-2.0:llm-inference-batching-scheduler	llm-inference-batching-scheduler	ml-scientific	ML, scientific computing, and retrieval	ML/scientific/retrieval task	heuristic_review
terminal-bench-2.0:model-extraction-relu-logits	model-extraction-relu-logits	ml-scientific	ML, scientific computing, and retrieval	ML/scientific/retrieval task	heuristic_review
terminal-bench-2.0:modernize-scientific-stack	modernize-scientific-stack	build-packaging	Build, packaging, and dependency modernization	build or dependency stack work	heuristic_review
terminal-bench-2.0:mteb-retrieve	mteb-retrieve	ml-scientific	ML, scientific computing, and retrieval	ML/scientific/retrieval task	heuristic_review
terminal-bench-2.0:multi-source-data-merger	multi-source-data-merger	data-processing	Data processing and integration	multi-source data processing task	heuristic_review
terminal-bench-2.0:nginx-request-logging	nginx-request-logging	web-networking	Web, networking, and service configuration	web/service logging or configuration task	heuristic_review
terminal-bench-2.0:openssl-selfsigned-cert	openssl-selfsigned-cert	security-crypto	Security, cryptography, and recovery	security/crypto/recovery task	heuristic_review
terminal-bench-2.0:password-recovery	password-recovery	security-crypto	Security, cryptography, and recovery	security/crypto/recovery task	heuristic_review
terminal-bench-2.0:polyglot-rust-c	polyglot-rust-c	systems-low-level	Systems, low-level, and polyglot implementation	low-level systems or interop task	heuristic_review
terminal-bench-2.0:portfolio-optimization	portfolio-optimization	optimization-finance	Optimization and quantitative planning	portfolio/numerical optimization task	heuristic_review
terminal-bench-2.0:query-optimize	query-optimize	database-storage	Database and storage operations	database/query optimization or storage task	heuristic_review
terminal-bench-2.0:schemelike-metacircular-eval	schemelike-metacircular-eval	language-implementation	Language implementation and interpreters	interpreter/language task	heuristic_review
terminal-bench-2.0:sqlite-db-truncate	sqlite-db-truncate	database-storage	Database and storage operations	database/query optimization or storage task	heuristic_review
terminal-bench-2.0:torch-pipeline-parallelism	torch-pipeline-parallelism	ml-scientific	ML, scientific computing, and retrieval	ML/scientific/retrieval task	heuristic_review
