phase	arm_id	trial_count	unique_task_count	attempt_counts_present	status	task_list
phase1	arm-a-anthropic	60	20	3	pass	build-cython-ext,cancel-async-tasks,configure-git-webserver,custom-memory-heap-crash,fix-code-vulnerability,git-leak-recovery,llm-inference-batching-scheduler,model-extraction-relu-logits,modernize-scientific-stack,mteb-retrieve,multi-source-data-merger,nginx-request-logging,openssl-selfsigned-cert,password-recovery,polyglot-rust-c,portfolio-optimization,query-optimize,schemelike-metacircular-eval,sqlite-db-truncate,torch-pipeline-parallelism
phase1	arm-b-deepseek-pro	60	20	3	pass	build-cython-ext,cancel-async-tasks,configure-git-webserver,custom-memory-heap-crash,fix-code-vulnerability,git-leak-recovery,llm-inference-batching-scheduler,model-extraction-relu-logits,modernize-scientific-stack,mteb-retrieve,multi-source-data-merger,nginx-request-logging,openssl-selfsigned-cert,password-recovery,polyglot-rust-c,portfolio-optimization,query-optimize,schemelike-metacircular-eval,sqlite-db-truncate,torch-pipeline-parallelism
phase1	arm-c-deepseek-flash	60	20	3	pass	build-cython-ext,cancel-async-tasks,configure-git-webserver,custom-memory-heap-crash,fix-code-vulnerability,git-leak-recovery,llm-inference-batching-scheduler,model-extraction-relu-logits,modernize-scientific-stack,mteb-retrieve,multi-source-data-merger,nginx-request-logging,openssl-selfsigned-cert,password-recovery,polyglot-rust-c,portfolio-optimization,query-optimize,schemelike-metacircular-eval,sqlite-db-truncate,torch-pipeline-parallelism
phase2	arm-anthropic-haiku	60	20	3	pass	build-cython-ext,cancel-async-tasks,configure-git-webserver,custom-memory-heap-crash,fix-code-vulnerability,git-leak-recovery,llm-inference-batching-scheduler,model-extraction-relu-logits,modernize-scientific-stack,mteb-retrieve,multi-source-data-merger,nginx-request-logging,openssl-selfsigned-cert,password-recovery,polyglot-rust-c,portfolio-optimization,query-optimize,schemelike-metacircular-eval,sqlite-db-truncate,torch-pipeline-parallelism
phase2	arm-anthropic-opus	60	20	3	pass	build-cython-ext,cancel-async-tasks,configure-git-webserver,custom-memory-heap-crash,fix-code-vulnerability,git-leak-recovery,llm-inference-batching-scheduler,model-extraction-relu-logits,modernize-scientific-stack,mteb-retrieve,multi-source-data-merger,nginx-request-logging,openssl-selfsigned-cert,password-recovery,polyglot-rust-c,portfolio-optimization,query-optimize,schemelike-metacircular-eval,sqlite-db-truncate,torch-pipeline-parallelism
phase2	arm-anthropic-sonnet	60	20	3	pass	build-cython-ext,cancel-async-tasks,configure-git-webserver,custom-memory-heap-crash,fix-code-vulnerability,git-leak-recovery,llm-inference-batching-scheduler,model-extraction-relu-logits,modernize-scientific-stack,mteb-retrieve,multi-source-data-merger,nginx-request-logging,openssl-selfsigned-cert,password-recovery,polyglot-rust-c,portfolio-optimization,query-optimize,schemelike-metacircular-eval,sqlite-db-truncate,torch-pipeline-parallelism
phase2	arm-deepseek-flash	60	20	3	pass	build-cython-ext,cancel-async-tasks,configure-git-webserver,custom-memory-heap-crash,fix-code-vulnerability,git-leak-recovery,llm-inference-batching-scheduler,model-extraction-relu-logits,modernize-scientific-stack,mteb-retrieve,multi-source-data-merger,nginx-request-logging,openssl-selfsigned-cert,password-recovery,polyglot-rust-c,portfolio-optimization,query-optimize,schemelike-metacircular-eval,sqlite-db-truncate,torch-pipeline-parallelism
phase2	arm-deepseek-pro	60	20	3	pass	build-cython-ext,cancel-async-tasks,configure-git-webserver,custom-memory-heap-crash,fix-code-vulnerability,git-leak-recovery,llm-inference-batching-scheduler,model-extraction-relu-logits,modernize-scientific-stack,mteb-retrieve,multi-source-data-merger,nginx-request-logging,openssl-selfsigned-cert,password-recovery,polyglot-rust-c,portfolio-optimization,query-optimize,schemelike-metacircular-eval,sqlite-db-truncate,torch-pipeline-parallelism
phase3	router-anthropic-fable-5	60	20	3	pass	build-cython-ext,cancel-async-tasks,configure-git-webserver,custom-memory-heap-crash,fix-code-vulnerability,git-leak-recovery,llm-inference-batching-scheduler,model-extraction-relu-logits,modernize-scientific-stack,mteb-retrieve,multi-source-data-merger,nginx-request-logging,openssl-selfsigned-cert,password-recovery,polyglot-rust-c,portfolio-optimization,query-optimize,schemelike-metacircular-eval,sqlite-db-truncate,torch-pipeline-parallelism
phase3	router-anthropic-haiku-sanitized	60	20	3	pass	build-cython-ext,cancel-async-tasks,configure-git-webserver,custom-memory-heap-crash,fix-code-vulnerability,git-leak-recovery,llm-inference-batching-scheduler,model-extraction-relu-logits,modernize-scientific-stack,mteb-retrieve,multi-source-data-merger,nginx-request-logging,openssl-selfsigned-cert,password-recovery,polyglot-rust-c,portfolio-optimization,query-optimize,schemelike-metacircular-eval,sqlite-db-truncate,torch-pipeline-parallelism
